iter	Passed	Remaining
0	160	160644
1	163	81379
2	165	54835
3	167	41647
4	169	33797
5	171	28448
6	173	24551
7	175	21730
8	176	19438
9	177	17575
10	178	16046
11	179	14793
12	180	13709
13	181	12776
14	182	11997
15	183	11312
16	184	10672
17	185	10102
18	185	9595
19	186	9136
20	187	8719
21	187	8342
22	188	7995
23	188	7678
24	189	7387
25	189	7116
26	190	6866
27	191	6633
28	191	6417
29	192	6215
30	192	6032
31	193	5856
32	194	5691
33	194	5536
34	195	5387
35	195	5247
36	196	5113
37	197	4990
38	197	4873
39	198	4762
40	198	4654
41	199	4552
42	200	4455
43	200	4362
44	201	4273
45	201	4187
46	202	4106
47	203	4028
48	203	3953
49	204	3881
50	204	3813
51	205	3746
52	206	3683
53	206	3623
54	207	3563
55	207	3505
56	208	3449
57	209	3395
58	209	3343
59	210	3292
60	210	3243
61	211	3199
62	212	3154
63	212	3111
64	213	3069
65	213	3027
66	214	2986
67	215	2947
68	215	2909
69	216	2872
70	216	2835
71	217	2800
72	217	2767
73	218	2734
74	219	2702
75	219	2671
76	220	2641
77	220	2611
78	221	2582
79	222	2553
80	222	2525
81	223	2498
82	223	2469
83	224	2443
84	224	2418
85	225	2393
86	225	2369
87	226	2349
88	227	2326
89	227	2304
90	228	2282
91	229	2260
92	229	2239
93	230	2218
94	230	2197
95	231	2178
96	231	2158
97	232	2139
98	233	2122
99	233	2104
100	234	2086
101	234	2068
102	235	2051
103	236	2035
104	236	2019
105	237	2002
106	238	1989
107	239	1973
108	239	1958
109	240	1943
110	240	1927
111	241	1913
112	241	1899
113	242	1885
114	243	1871
115	243	1857
116	244	1843
117	244	1830
118	245	1817
119	246	1804
120	246	1791
121	247	1778
122	247	1767
123	248	1754
124	249	1743
125	249	1731
126	250	1719
127	250	1707
128	251	1698
129	252	1687
130	252	1677
131	253	1666
132	253	1655
133	254	1645
134	255	1634
135	255	1624
136	256	1613
137	256	1604
138	257	1594
139	258	1585
140	259	1578
141	259	1568
142	260	1559
143	260	1549
144	261	1540
145	261	1531
146	262	1522
147	263	1514
148	263	1505
149	264	1498
150	264	1489
151	265	1481
152	266	1473
153	266	1465
154	267	1456
155	267	1448
156	268	1440
157	268	1432
158	269	1424
159	269	1417
160	270	1408
161	270	1400
162	271	1394
163	272	1386
164	272	1379
165	273	1373
166	274	1367
167	274	1360
168	275	1353
169	275	1346
170	276	1339
171	276	1332
172	277	1325
173	277	1319
174	278	1313
175	279	1307
176	279	1301
177	280	1295
178	281	1289
179	281	1282
180	282	1276
181	282	1270
182	283	1264
183	283	1258
184	284	1253
185	285	1247
186	285	1241
187	286	1236
188	286	1230
189	287	1225
190	288	1221
191	288	1216
192	289	1210
193	290	1204
194	290	1199
195	291	1194
196	291	1188
197	292	1183
198	292	1179
199	293	1173
200	294	1168
201	294	1163
202	295	1158
203	295	1153
204	296	1148
205	296	1144
206	297	1139
207	298	1134
208	298	1129
209	299	1125
210	299	1120
211	300	1115
212	300	1111
213	301	1106
214	301	1102
215	302	1098
216	303	1094
217	303	1090
218	304	1086
219	305	1082
220	305	1078
221	306	1074
222	307	1069
223	307	1066
224	308	1062
225	309	1059
226	310	1056
227	311	1053
228	311	1049
229	312	1045
230	312	1041
231	313	1037
232	313	1033
233	314	1029
234	315	1025
235	315	1021
236	316	1017
237	316	1014
238	317	1010
239	317	1006
240	318	1003
241	319	1001
242	320	997
243	320	993
244	321	990
245	321	986
246	322	982
247	322	979
248	323	975
249	324	973
250	324	969
251	325	966
252	326	962
253	326	959
254	327	956
255	327	952
256	328	949
257	328	945
258	329	942
259	330	939
260	330	936
261	331	933
262	331	929
263	332	927
264	333	924
265	333	921
266	334	918
267	335	915
268	335	912
269	336	909
270	336	906
271	337	903
272	338	900
273	338	897
274	339	894
275	340	891
276	340	889
277	341	886
278	341	883
279	342	880
280	342	877
281	343	874
282	344	871
283	344	868
284	345	866
285	345	863
286	346	860
287	347	858
288	347	855
289	348	853
290	349	850
291	349	847
292	350	845
293	350	842
294	351	840
295	352	837
296	352	835
297	353	832
298	353	829
299	354	827
300	355	824
301	355	821
302	356	819
303	356	816
304	357	814
305	357	811
306	358	809
307	359	806
308	359	804
309	360	801
310	360	799
311	361	796
312	362	794
313	362	792
314	363	790
315	364	788
316	364	785
317	365	783
318	365	781
319	366	778
320	367	776
321	367	774
322	368	771
323	368	769
324	369	767
325	370	765
326	370	762
327	371	760
328	371	758
329	372	756
330	372	753
331	373	751
332	374	749
333	374	746
334	375	744
335	375	742
336	376	740
337	376	738
338	377	736
339	378	735
340	379	733
341	379	730
342	380	728
343	380	726
344	381	724
345	382	722
346	382	720
347	383	718
348	383	716
349	384	714
350	385	711
351	385	709
352	386	707
353	386	705
354	387	703
355	387	701
356	388	699
357	388	697
358	389	695
359	390	693
360	390	691
361	391	689
362	391	687
363	392	686
364	393	684
365	393	682
366	394	680
367	395	678
368	395	676
369	396	674
370	396	672
371	397	670
372	398	669
373	398	667
374	399	665
375	399	663
376	400	661
377	401	659
378	401	658
379	402	656
380	402	654
381	403	652
382	404	650
383	404	649
384	405	647
385	405	645
386	406	643
387	406	641
388	407	640
389	408	638
390	408	637
391	409	635
392	410	633
393	410	631
394	411	629
395	411	627
396	412	626
397	412	624
398	413	622
399	413	620
400	414	618
401	414	617
402	415	615
403	416	614
404	416	612
405	417	610
406	417	608
407	418	607
408	418	605
409	419	603
410	420	602
411	420	600
412	421	598
413	421	597
414	422	595
415	423	594
416	423	592
417	424	591
418	425	589
419	425	587
420	426	586
421	426	584
422	427	582
423	427	581
424	428	579
425	428	577
426	429	576
427	429	574
428	430	572
429	430	571
430	431	569
431	432	568
432	432	566
433	433	564
434	433	563
435	434	561
436	434	560
437	435	558
438	435	557
439	436	555
440	437	554
441	438	554
442	439	552
443	440	551
444	440	549
445	441	547
446	441	546
447	442	545
448	442	543
449	443	542
450	444	540
451	444	539
452	445	537
453	445	536
454	446	534
455	446	533
456	447	531
457	447	530
458	448	528
459	448	526
460	449	525
461	450	524
462	450	522
463	451	521
464	451	519
465	452	518
466	453	517
467	453	515
468	454	514
469	455	513
470	455	511
471	456	510
472	456	508
473	457	507
474	457	506
475	458	504
476	459	503
477	459	501
478	460	500
479	460	499
480	461	497
481	461	496
482	462	494
483	462	493
484	463	492
485	464	491
486	464	489
487	465	488
488	466	487
489	466	485
490	467	484
491	468	483
492	468	482
493	469	480
494	470	479
495	470	478
496	471	476
497	471	475
498	472	474
499	472	472
500	473	471
501	473	470
502	474	468
503	475	467
504	475	466
505	476	464
506	476	463
507	477	462
508	478	461
509	478	459
510	479	458
511	479	457
512	480	456
513	480	454
514	481	453
515	482	452
516	483	451
517	483	450
518	484	448
519	484	447
520	485	446
521	485	444
522	486	443
523	487	442
524	487	441
525	488	439
526	488	438
527	489	437
528	489	436
529	490	434
530	490	433
531	491	432
532	492	431
533	492	429
534	493	428
535	493	427
536	494	426
537	494	424
538	495	423
539	496	422
540	496	421
541	497	420
542	498	419
543	498	418
544	499	416
545	499	415
546	500	414
547	501	413
548	501	412
549	502	410
550	502	409
551	503	408
552	503	407
553	504	406
554	505	404
555	505	403
556	506	402
557	506	401
558	507	400
559	507	399
560	508	397
561	509	396
562	509	395
563	510	394
564	511	393
